Unnamed: 0,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags,current_capacity
5344,Singer India,4.4,(97 Reviews),Public,"Delhi/NCR,Delhi + 18 more",45 years old,201-500 Employees (India),Industrial Equipment / Machinery,19
5345,Damodar Valley C...,3.9,(97 Reviews),Kolkata + 10 more,74 years old,5k-10k Employees (India),,Consulting,17
5346,Benteler Automot...,4.2,(97 Reviews),Private,Salzburg + 3 more,146 years old,201-500 Employees (India),Automobile,9
5347,Pinnacle Industr...,3.9,(97 Reviews),Pithampur + 8 more,26 years old,501-1k Employees (India),,Automobile,13
5348,In2IT Technologi...,3.3,(97 Reviews),Private,"Irving,Texas + 7 more",32 years old,201-500 Employees (India),IT Services & Consulting,5
5349,Hindustan PowerP...,3.9,(97 Reviews),Private,Delhi + 7 more,14 years old,1-10 Employees (India),Power,5
5350,AM InfoWeb,3.8,(97 Reviews),Private,"Ahmedabad,Gujarat + 1 more",14 years old,501-1k Employees (India),BPO / Call Centre,10
5351,Automotive Stamp...,3.7,(97 Reviews),Public,Pune + 6 more,32 years old,501-1k Employees (India),Manufacturing,10
5352,Bygging India,4.1,(97 Reviews),Public,Mumbai + 12 more,39 years old,201-500 Employees (India),Engineering & Construction,7
5353,Zerodha,4.2,(97 Reviews),Public,Bangalore + 16 more,12 years old,1k-5k Employees (India),Internet,15
5354,Prudent Corporat...,4.2,(97 Reviews),Private,"Ahmedabad,Gujarat + 32 more",22 years old,501-1k Employees (India),Financial Services,7
5355,ABT Maruti,4.2,(97 Reviews),Private,Coimbatore + 14 more,101 years old,1k-5k Employees (Global),Automobile,15
5356,Royal Bank of Sc...,4.1,(97 Reviews),Private,Edinburgh + 6 more,295 years old,201-500 Employees (India),Financial Services,3
5357,Nerdy Turtlez,3.3,(97 Reviews),"Noida,Uttar Pradesh + 2 more",13 years old,201-500 Employees (India),,e-Learning / EdTech,19
5358,Wabtec,4.3,(97 Reviews),Private,"Wilmerding,Pennsylvania + 11 more",150 years old,1k-5k Employees (India),Courier / Logistics,10
5359,Entercoms,3.3,(97 Reviews),Private,"Irving,Texas",18 years old,201-500 Employees (India),IT Services & Consulting,15
5360,Educational Init...,4.2,(97 Reviews),Private,"Ahmedabad,Gujarat + 19 more",21 years old,201-500 Employees (India),Internet,3
5361,Pearl Polymers,4.6,(97 Reviews),Public,"Delhi/NCR,Delhi + 13 more",38 years old,501-1k Employees (India),Manufacturing,6
5362,Embee Software,4.0,(97 Reviews),Private,"Kolkata,West Bengal + 11 more",35 years old,501-1k Employees (India),IT Services & Consulting,12
5363,Carwale,4.0,(97 Reviews),Private,"Mumbai,Maharashtra + 14 more",17 years old,501-1k Employees (India),Internet,15
5364,Malabar Group Of...,4.0,(97 Reviews),Private,"Calicut/Kozhikode,Kerala + 21 more",29 years old,1k-5k Employees (India),Consumer goods,6
5365,Toyotetsu india ...,4.6,(97 Reviews),Private,Aichi + 3 more,13 years old,501-1k Employees (India),Automobile,13
5366,IXAR,3.7,(97 Reviews),Private,Mumbai + 8 more,53 years old,51-200 Employees (India),Oil & Gas,19
5367,India Infoline H...,3.3,(97 Reviews),Public,Gurgaon + 38 more,13 years old,51-200 Employees (India),Financial Services,3
5368,Kayjay Forging,4.0,(97 Reviews),Private,"Ludhiana,Punjab + 3 more",34 years old,1k-5k Employees (India),Automobile,8
5369,Nerdy Turtlez,3.3,(97 Reviews),"Noida,Uttar Pradesh + 2 more",13 years old,201-500 Employees (India),,e-Learning / EdTech,8
5370,Wabtec,4.3,(97 Reviews),Private,"Wilmerding,Pennsylvania + 11 more",150 years old,1k-5k Employees (India),Courier / Logistics,20
5371,Entigrity Soluti...,4.8,(97 Reviews),New York + 2 more,7 years old,1k-5k Employees (India),,Recruitment / Staffing,15
5372,Benteler Automot...,4.2,(97 Reviews),Private,Salzburg + 3 more,146 years old,201-500 Employees (India),Automobile,4
5373,Ray Engineering,4.1,(97 Reviews),Mumbai + 12 more,16 years old,11-50 Employees (India),,Engineering & Construction,19
5374,Malabar Group Of...,4.0,(97 Reviews),Private,"Calicut/Kozhikode,Kerala + 21 more",29 years old,1k-5k Employees (India),Consumer goods,3
